ID,RATING,REVIEW,CUSTOMER_NAME,REVIEW_DATE
1,4,"The Sony PlayStation 5 I bought from the department store is a fantastic gaming console. The graphics are incredible, and the load times are lightning-fast. However, I wish it had more storage space for games. Overall, I'm happy with my purchase.","Alexandra Smith",2024-04-10
2,3,"I purchased the LG OLED TV from the department store, and while the picture quality is excellent, I've had issues with the sound cutting out intermittently. It's quite frustrating, especially during important scenes in movies or TV shows.","Ryan Johnson",2024-04-11
3,5,"The Dyson V11 Vacuum Cleaner I bought exceeded my expectations. It's incredibly powerful and makes cleaning my house a breeze. Plus, the battery life is impressive, allowing me to clean multiple rooms on a single charge.","Jessica Williams",2024-04-07
5,4,"I recently purchased the Nintendo Switch from the department store, and it's been a game-changer for family entertainment. The versatility of playing on the TV or in handheld mode is fantastic, and the library of games is extensive.","Emily Brown",2024-04-11
6,3,"The KitchenAid Stand Mixer I bought looks great on my countertop, but I've noticed it struggles with heavier doughs. It tends to overheat, and I'm worried about its long-term durability.","Daniel Martinez",2024-04-14
7,5,"I'm delighted with my purchase of the Samsung Galaxy Watch from the department store. It's stylish, comfortable to wear, and has a wide range of useful features like fitness tracking and notifications. Highly recommend it!","Sophia Garcia",2024-04-16
8,2,"I'm disappointed with the HP Envy Laptop I bought. It's slow to boot up, and the battery life is much shorter than advertised. I expected better performance for the price I paid.","Ethan Wilson",2024-04-07
9,4,"The Instant Pot Duo I purchased from the department store has revolutionized my cooking. It's so convenient and versatile, allowing me to make delicious meals with minimal effort. The only downside is that it's a bit bulky and takes up a lot of counter space.","Olivia Anderson",2024-04-10
10,5,"I absolutely love my new Fitbit Charge 4. It's helped me stay motivated to reach my fitness goals with its accurate tracking and insightful metrics. Plus, the battery life is impressive, lasting several days on a single charge.","Noah Taylor",2024-04-12
11,3,"The Amazon Echo Dot I bought works well as a smart speaker, but I've had issues with Alexa misunderstanding my commands. It can be frustrating when it plays the wrong music or gives incorrect information.","Ava Thomas",2024-04-16
12,4,"I'm very satisfied with my purchase of the Shark Navigator Vacuum Cleaner from the department store. It's lightweight, maneuverable, and does an excellent job of cleaning both carpets and hard floors.","Lucas Hernandez",2024-04-15
14,5,"The LG Front Load Washer I bought from the department store is a game-changer for laundry day. It's efficient, quiet, and has plenty of wash cycles to choose from. My clothes have never been cleaner!","William Rodriguez",2024-04-09
15,3,"I purchased the Acer Aspire Laptop, and while it's affordable, the performance leaves much to be desired. It's slow and struggles with multitasking. I wouldn't recommend it for anything beyond basic tasks.","Ella Nguyen",2024-04-07
16,4,"I'm impressed with the performance of the Canon EOS Rebel DSLR Camera I bought. The picture quality is outstanding, and the camera is easy to use, even for a beginner like myself. It's a great value for the price.","Mason Cooper",2024-04-14
17,2,"The JBL Flip 5 Bluetooth Speaker I bought has good sound quality, but it's not very durable. After just a few uses, the rubber covering started peeling off. I expected better quality from JBL.","Harper Lee",2024-04-14
18,5,"I couldn't be happier with my purchase of the Ninja Foodi Grill from the department store. It's incredibly versatile, allowing me to grill, air fry, and roast with ease. Plus, it's easy to clean up afterward.","Liam Walker",2024-04-08
19,3,"The Microsoft Surface Pro Tablet I bought has a sleek design and a vibrant display, but it's prone to overheating, especially when running demanding applications. It's disappointing considering the premium price.","Aria Moore",2024-04-13
20,4,"The Ring Video Doorbell I purchased from the department store has given me peace of mind when I'm away from home. It's easy to install and provides crystal-clear video footage of anyone who comes to my door.","Jackson Perez",2024-04-11
